name,sector,capacity,beds_available,contact
Apollo Hospital,Chennai,300,45,+91-44-28290200
AIIMS,New Delhi,800,120,+91-11-26588500
KEM Hospital,Mumbai,500,60,+91-22-24107000
NIMS,Hyderabad,400,85,+91-40-23489000
Manipal Hospital,Bengaluru,350,90,+91-80-25024444
King George Hospital,Visakhapatnam,250,55,+91-891-2564891
AMRI Hospital,Bhubaneswar,200,42,+91-674-6666600
IPGMER,Kolkata,450,70,+91-33-22235181
GMC Guwahati,Guwahati,300,50,+91-361-2130560
SMHS Hospital,Srinagar,200,30,+91-194-2504818
Indira Gandhi Medical College,Shimla,150,22,+91-177-2804251
Doon Hospital,Dehradun,180,35,+91-135-2712500
Jammu GMC Hospital,Jammu,220,40,+91-191-2584290
Sanjay Gandhi PGIMS,Lucknow,400,65,+91-522-2668004
Patna Medical College,Patna,350,50,+91-612-2300342
Red Cross Trauma Center,Pune,120,28,+91-20-26127390
Bhopal Memorial Hospital,Bhopal,250,45,+91-755-2742212
Kochi General Hospital,Kochi,180,35,+91-484-2360050

aiims,Vijayawada,100,50,23453455654